ID,Male,Female,Age,Cost,Siblings/Spouses,Parents/Children
892,1,0,34.5,7.8292,0,0
893,0,1,47.0,7.0,1,0
894,1,0,62.0,9.6875,0,0
895,1,0,27.0,8.6625,0,0
896,0,1,22.0,12.2875,1,1
897,1,0,14.0,9.225,0,0
898,0,1,30.0,7.6292,0,0
899,1,0,26.0,29.0,1,1
900,0,1,18.0,7.2292,0,0
901,1,0,21.0,24.15,2,0
902,1,0,53.0,7.8958,0,0
903,1,0,46.0,26.0,0,0
904,0,1,23.0,82.2667,1,0
905,1,0,63.0,26.0,1,0
906,0,1,47.0,61.175,1,0
907,0,1,24.0,27.7208,1,0
908,1,0,35.0,12.35,0,0
909,1,0,21.0,7.225,0,0
910,0,1,27.0,7.925,1,0
911,0,1,45.0,7.225,0,0
912,1,0,55.0,59.4,1,0
913,1,0,9.0,3.1708,0,1
914,0,1,20.0,31.6833,0,0
915,1,0,21.0,61.3792,0,1
916,0,1,48.0,262.375,1,3
917,1,0,50.0,14.5,1,0
918,0,1,22.0,61.9792,0,1
919,1,0,22.5,7.225,0,0
920,1,0,41.0,30.5,0,0
921,1,0,45.0,21.6792,2,0
922,1,0,50.0,26.0,1,0
923,1,0,24.0,31.5,2,0
924,0,1,33.0,20.575,1,2
925,0,1,14.0,23.45,1,2
926,1,0,30.0,57.75,1,0
927,1,0,18.5,7.2292,0,0
928,0,1,13.0,8.05,0,0
929,0,1,21.0,8.6625,0,0
930,1,0,25.0,9.5,0,0
931,1,0,57.0,56.4958,0,0
932,1,0,39.0,13.4167,0,1
933,1,0,23.0,26.55,0,0
934,1,0,41.0,7.85,0,0
935,0,1,30.0,13.0,0,0
936,0,1,45.0,52.5542,1,0
937,1,0,25.0,7.925,0,0
938,1,0,45.0,29.7,0,0
939,1,0,48.0,7.75,0,0
940,0,1,60.0,76.2917,0,0
941,0,1,36.0,15.9,0,2
942,1,0,24.0,60.0,1,0
943,1,0,27.0,15.0333,0,0
944,0,1,20.0,23.0,2,1
945,0,1,28.0,263.0,3,2
946,1,0,14.0,15.5792,0,0
947,1,0,10.0,29.125,4,1
948,1,0,35.0,7.8958,0,0
949,1,0,25.0,7.65,0,0
950,1,0,22.0,16.1,1,0
951,0,1,36.0,262.375,0,0
952,1,0,17.0,7.8958,0,0
953,1,0,32.0,13.5,0,0
954,1,0,18.0,7.75,0,0
955,0,1,22.0,7.725,0,0
956,1,0,13.0,262.375,2,2
957,0,1,47.0,21.0,0,0
958,0,1,18.0,7.8792,0,0
959,1,0,47.0,42.4,0,0
960,1,0,31.0,28.5375,0,0
961,0,1,60.0,263.0,1,4
962,0,1,24.0,7.75,0,0
963,1,0,21.0,7.8958,0,0
964,0,1,29.0,7.925,0,0
965,1,0,28.5,27.7208,0,0
966,0,1,35.0,211.5,0,0
967,1,0,32.5,211.5,0,0
968,1,0,41.0,8.05,0,0
969,0,1,55.0,25.7,2,0
970,1,0,30.0,13.0,0,0
971,0,1,24.0,7.75,0,0
972,1,0,6.0,15.2458,1,1
973,1,0,67.0,221.7792,1,0
974,1,0,49.0,26.0,0,0
975,1,0,51.0,7.8958,0,0
976,1,0,13.0,10.7083,0,0
977,1,0,31.0,14.4542,1,0
978,0,1,27.0,7.8792,0,0
979,0,1,18.0,8.05,0,0
980,0,1,28.0,7.75,0,0
981,1,0,2.0,23.0,1,1
982,0,1,22.0,13.9,1,0
983,1,0,19.0,7.775,0,0
984,0,1,27.0,52.0,1,2
985,1,0,15.0,8.05,0,0
986,1,0,25.0,26.0,0,0
987,1,0,25.0,7.7958,0,0
988,0,1,76.0,78.85,1,0
989,1,0,29.0,7.925,0,0
990,0,1,20.0,7.8542,0,0
991,1,0,33.0,8.05,0,0
992,0,1,43.0,55.4417,1,0
993,1,0,27.0,26.0,1,0
994,1,0,28.0,7.75,0,0
995,1,0,26.0,7.775,0,0
996,0,1,16.0,8.5167,1,1
997,1,0,28.0,22.525,0,0
998,1,0,21.0,7.8208,0,0
999,1,0,53.0,7.75,0,0
1000,1,0,35.0,8.7125,0,0
1001,1,0,18.5,13.0,0,0
1002,1,0,41.0,15.0458,0,0
1003,0,1,35.0,7.7792,0,0
1004,0,1,36.0,31.6792,0,0
1005,0,1,18.5,7.2833,0,0
